INT,REGION,STATE,COUNTY,CD,SAMPCELL,SAMPYTH,SAMPGEN,ACTAGE,AGECAT,UPELECT,DIRECT,PGDBAL,GENERIC,DTID,JBID,PBID,JCID,KHID,BSID,EWID,CBID,NPID,MMID,GOPCID,DEMCID,DJTJA,DJTIS1,DJTIS2,DJTIS3,DJTIS4,DJTIS5,DJTIS6,DT3W,ELVIEW,FORAGN,Q26,Q27,Q28,IHPC1,IHPC2,IHPC3,IHPC4,IHPC5,IHPC6,IHPC7,IHPC8,IHPC9,IHPC10,IHPC11,IHPC12,IHCC1,IHCC2,IHCC3,IHCC4,IHCC5,IHCC6,IHCC7,IHCC8,IHCC9,IHCC10,IHCC11,IHCC12,ECONW,CIVIL1,CIVIL2,CIVIL3,CIVIL4,CIVIL5,CIVIL6,CRES1,CRES2,CRES3,CRES4,CRES5,CRES6,CRES7,CRES8,CRES9,DIVSCL,EDUC,IDEOL,PARTYID,PARTY,PVOTE16,UNION,MARITAL,CHILD,DENOMFRQ,BORN,RACE,HISP,ECONCLA2,SOURCE,SEXEMP,USR,LIST,INTGEN,LENGTHWW,ZIP,PROJECT,CURRPROJ,STATECD,STATENAME,CDPAR,COMPCD,RRINTEREA,RRINTEREB,RRINTEREC,RRINTERED,RRINTEREE,RRINTEREF,RRINTEREG,RRINTEREH,RRINTEREI,RRINTEREJ,RRINTEREK,AGE,RAGE,RAGEFL,NRCCAGE1,NRCCAGE2,NRCCAGE3,NRCCAGE4,NRCCAGE5,NRCCAGE6,RDIRECT,RPGDBAL,RGENERIC,RDTID,RJBID,RPBID,RJCID,RKHID,RBSID,REWID,RCBID,RNPID,RMMID,RGOPCID,RDEMCID,RDJTJA,RDJTIS1,RDJTIS2,RDJTIS3,RDJTIS4,RDJTIS5,RDJTIS6,R26,R28,RCIVIL1,RCIVIL2,RCIVIL3,RCIVIL4,RCIVIL5,RCIVIL6,REDUC,RIDEOL,RRIDEOL,RPARTYID,RPARTY,RUNION,RMARITAL,RCHILD,RRACE,RHISP,RSOURCE,RSEXEMP,SEX,GENDER,DATE,R96,R96FL,RR96,RR96FL,RPTYID89,RPTYID90,RPTY90FL,RPTYID98,RPTYD981,R89,R90,R90FL,R98,R981,R99,PARTISAN,STATUS,ONE,turn1,turn2,turn3,turn4,turn5,turnp1,turnp2,turnp3,turnp4,turnp5,turns1,turns2,turns3,turns4,turns5,turnc1,turnc2,turnc3,turnc4,turnc5,turng1,turng2,turng3,turng4,turng5,TOGGLE,TIMESRUN,W1,TIMESRUN2,W2,RUSR,RG1,RG2,PREZ16,SEN20,USRACE,EMPSTAT,AGERACE,GENRACE,WHSENIOR,PARIDEOL,EDRAC,SEXED2,SEXEDWH,MARAC,GENMAR2,MOMDAD,BUNDY,SEXBORN,RACEVANG,IDEOVAN,CLARAC,JACNT,RDENOMFR,goal1,goal2,goal3,turn,goal4,NUMCASES,ACTUAL,pturn,diff
430,3,1,3,1,N,N,F,64, ,1,1,1,1,1,4,4,5,4,4,4,4,4,2,1,4,1,1,2,1,1,1,2,3,2,1,1,3,5,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,5,1,1,2,1,2,1,1,2,1,2,4,55,5,1,1,1,1,3,5,2,1,1,7,2,2,6,10,1,2,2,21.08333333,36551,16440,16440,101,Alabama,1,2,0,0,0,0,0,0,0,0,0,0,0,7,3,2,3,2.2, , ,1.4,2.1,1,1,1,1,2,2,3,2,2,2,2,2,1,1,2,1,1,1,1,1,1,1,1,3,3,1,1,3,1,1,3,1,1,1,1,2,3,2,4,2,5,4,2,2,20191008,4,4,4,4,2,2,2,1,1,2,2,2,1,1,3,1,5,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,6,0.255952471,0,1,1,3,5,1,1,6,1,8,7,2,5,4,4,2,4,7,3,7,3,2,2,4,1,1,31,38,4,29.56,53,1011,52.99751428,3.474280723,0
720,3,1,53,1,N,N,F,77, ,2,3,6,5,4,2,2,5,2,2,1,2,1,2,3,1,5,5,5,5,5,5,5,1,2,1,1,3,1,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,2,3,1,3,1,1,2,1,1,2,1,1,1,2,2,1,9,4,4,5,6,2,3,4,2,8,1,1,2,3,1,9,1,2,2,28.06666667,36426,16440,16440,101,Alabama,1,2,0,0,0,0,0,0,0,0,0,0,0,10,4,3,4,2.2, , ,1.4, ,2,3,3,2,1,1,3,1,1,1,1,1,1,2,1,3,3,3,3,3,3,3,1,1,2,1,2,1,1,1,2,3,3,3,3,2,3,2,1,2,1,4,2,2,20191009,4,4,4,4,4,4,4,4,4,6,6,6,4,4,3,5,5,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,6,0.587711176,0,1,1,3,5,1,1,6,3,2,2,1,1,3,4,1,3,6,3,4,3,1,3,5,5,4,21,42,75,19.59,53,1011,52.99751428,90.63550131,0
437,3,1,13,2,N,N,F,71, ,1,1,1,1,1,1,6,6,2,4,6,6,4,6,1,4,1,1,1,2,1,1,2,3,2,1,1,2,5,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,4,1,1,1,5,1,1,1,1,1,1,2,1,3,5,2,2,1,5,2,75,6,1,1,2,1,3,5,2,1,1,1,2,2,2,9,1,2,2,26.7,36033,16440,16440,102,Alabama,1,2,0,0,0,0,0,0,0,0,0,0,0,9,4,3,4,2.2, , ,1.4, ,1,1,1,1,1,4,4,1,2,4,4,2,4,1,2,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,4,1,1,1,1,2,3,2,1,2,2,4,2,2,20191008,4,4,4,4,2,2,2,1,1,2,2,2,1,1,3,1,5,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,6,0.598710578,0,1,1,3,5,1,1,6,3,2,2,1,5,1,3,3,3,6,3,7,3,1,1,1,1,1,21,38,75,24.72,53,1011,52.99751428,28.92106254,0
718,3,1,101,2,N,N,F,55, ,1,1,1,1,1,4,4,4,4,4,4,4,4,2,1,4,1,1,1,1,1,1,1,3,2,1,1,1,5,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,5,1,5,5,4,1,1,1,4,1,1,1,4,100,3,1,3,2,1,3,2,2,2,1,2,2,2,10,1,1,2,1,16.48333333,36117,16440,16440,102,Alabama,1,2,0,0,0,0,0,0,0,0,0,0,0,7,3,2,3,2.2, , ,1.4,2.1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,2,1,1,1,1,1,1,1,1,3,1,1,3,1,3,3,2,1,1,1,1,2,2,2,2,2,7,1,1,1,20191009,2,2,2,2,1,2,2,1,5,1,2,2,1,5,3,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,6,1.107997362,0,1,1,3,5,1,1,6,2,4,3,2,5,4,2,2,2,7,3,2,1,2,2,2,1,1,31,38,12,21.56,47,1011,47.00248572,77.6987967,0
814,3,1,69,2,N,N,M,48, ,1,1,1,1,1,4,4,4,4,4,4,4,4,5,3,4,1,1,2,1,1,1,2,3,2,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,6,6,6,6,6,6,6,6,6,4,2,1,2,2,1,1,4,1,1,2,4,2,1,1,4,85,5,1,1,2,1,3,2,1,2,1,1,2,2,1,1,1,2,1,16.95,36303,16440,16440,102,Alabama,1,2,0,0,0,0,0,0,0,0,0,0,0,6,3,2,2,1.1,1.2,1.3,1.4,2.1,1,1,1,1,2,2,2,2,2,2,2,2,3,2,2,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,3,1,1,1,1,2,2,1,1,2,1,1,1,1,20191010,2,1,2,1,1,2,1,1,1,1,2,1,1,1,3,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,6,0.924461875,0,1,1,3,5,1,1,6,2,2,1,2,5,3,2,1,1,3,1,1,1,1,1,1,1,1,31,38,75,28.97,47,1011,47.00248572,8.430964856,0
669,3,1,127,4,N,N,F,72, ,2,1,1,1,1,2,6,5,4,4,5,6,4,5,1,4,1,1,1,1,1,1,2,2,1,1,1,3,5,1,1,1,1,1,1,1,1,1,1,3,3,6,6,6,6,6,6,6,6,6,6,6,6,3,3,1,2,4,1,1,2,1,1,1,1,1,1,1,2,50,6,1,3,1,1,3,5,2,1,1,1,2,2,2,9,1,2,2,18,35504,16440,16440,104,Alabama,1,2,0,0,0,0,0,0,0,0,0,0,0,9,4,3,4,2.2, , ,1.4, ,1,1,1,1,1,4,3,2,2,3,4,2,3,1,2,1,1,1,1,1,1,1,1,3,2,1,1,3,1,1,4,1,1,1,1,2,3,2,1,2,2,4,2,2,20191009,4,4,4,4,2,2,2,1,1,2,2,2,1,1,3,1,5,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,6,0.598710578,0,1,1,3,5,1,1,6,3,2,2,1,5,1,3,3,3,6,3,7,3,1,1,1,1,1,21,38,75,23.22,53,1011,52.99751428,53.8804492,0
405,3,1,83,5,Y,Y,M,38, ,2,2,4,3,5,5,6,6,6,4,5,6,4,6,5,5,3,1,2,3,2,3,2,2,2,1,1,4,4,6,6,6,6,6,6,6,6,6,6,6,6,3,3,3,3,3,3,3,3,3,3,3,3,5,2,1,2,5,2,1,2,2,1,2,1,1,1,1,2,75,3,6,9,3,1,3,2,1,7,2,1,2,3,6,4,4,1,2,19.01666667,35613,16440,16440,105,Alabama,1,2,0,0,0,0,0,0,0,0,0,0,0,4,2,1,2,1.1,1.2,1.3,1.4,2.1,1,2,2,3,3,4,4,4,2,3,4,2,4,3,3,2,1,1,2,1,2,1,1,3,1,1,1,3,1,1,2,2,3,2,1,2,2,1,1,2,5,2,1,1,20191008,1,1,1,1,5,5,5,2,2,1,1,1,1,1,2,3,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,6,2.543479171,0,1,3,3,5,1,1,1,3,2,1,2,4,3,2,1,1,3,1,1,2, , ,5,3,4,28,20,75,15.14,47,1011,47.00248572,99.90069044,0
421,3,1,103,5,N,N,F,53, ,1,1,1,3,1,6,6,6,6,6,3,6,6,6,2,3,1,4,5,4,2,5,5,3,2,2,3,7,7,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1,1,1,3,1,1,1,1,1,3,5,1,4,2,1,1,4,4,4,4,4,4,4,4,4,50,4,1,1,2,1,3,4,2,5,1,1,2,4,2,5,1,2,2,16.16666667,35670,16440,16440,105,Alabama,1,2,0,0,0,0,0,0,0,0,0,0,0,6,3,2,2,2.2, ,1.3,1.4,2.1,1,1,2,1,4,4,4,4,4,2,4,4,4,1,2,1,3,3,3,1,3,3,2,4,3,1,3,1,1,1,2,1,1,1,1,2,3,2,1,2,2,2,1,1,20191008,2,1,2,1,1,2,1,1,1,1,2,1,1,1,2,1,2,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,6,0.924461875,0,1,1,3,5,1,1,6,1,2,1,2,5,3,2,1,3,5,3,4,1,1,1,5,4,3,31,38,75,22.48,47,1011,47.00248572,63.87108902,0
647,3,1,89,5,N,N,F,66, ,2,5,7,5,4,2,2,4,3,3,1,2,1,4,4,2,5,5,5,5,5,5,5,1,2,1,1,1,1,6,6,6,6,6,6,6,6,6,6,6,6,2,2,2,2,2,2,2,2,2,2,2,2,3,1,1,5,1,1,1,3,3,3,3,4,3,4,4,1,100,5,2,7,7,2,3,2,2,2,2,2,2,2,10,4,1,2,1,18.25,35761,16440,16440,105,Alabama,1,2,0,0,0,0,0,0,0,0,0,0,0,8,4,3,4,2.2, , ,1.4, ,3,3,3,2,1,1,2,2,2,1,1,1,2,2,1,3,3,3,3,3,3,3,1,1,1,1,3,1,1,1,3,1,2,3,3,2,2,2,2,2,7,2,1,1,20191009,2,2,2,2,3,4,4,3,5,5,6,6,3,5,3,5,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,6,0.651207183,0,1,1,3,5,1,1,6,3,4,3,2,2,4,2,2,2,7,3,2,2, , ,2,5,1,21,42,12,28.41,47,1011,47.00248572,10.43522331,0
412,3,1,73,6,Y,Y,F,65, ,1,1,1,1,1,4,6,6,6,4,4,4,4,4,2,4,1,1,2,1,1,1,1,2,1,2,1,1,5,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,4,1,1,1,4,100,7,1,1,2,1,3,5,2,1,1,1,2,1,1,9,1,1,2,15.28333333,35209,16440,16440,106,Alabama,1,2,0,0,0,0,0,0,0,0,0,0,0,8,4,3,4,2.2, , ,1.4, ,1,1,1,1,2,4,4,4,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,4,1,1,1,1,2,3,2,1,2,1,4,2,2,20191008,4,4,4,4,2,2,2,1,1,2,2,2,1,1,3,1,5,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,6,0.598710578,0,1,1,3,5,1,1,6,3,2,2,1,5,1,3,3,3,6,3,7,3,1,1,5,1,1,21,38,75,25.3,53,1011,52.99751428,21.88143892,0
